time,mjd,band,mag
0.4745,57983.0031,u,17.852
0.4752,57983.0037,u,17.852
0.6387,57983.1672,u,17.844
0.9809,57983.5094,u,18.24
1.043,57983.5715,u,18.36
1.4206,57983.9491,u,19.34
1.4478,57983.9764,u,19.422
1.4485,57983.977,u,19.424
1.4492,57983.9777,u,19.426
1.4499,57983.9784,u,19.428
1.4506,57983.9791,u,19.43
1.4512,57983.9798,u,19.432
1.4717,57984.0002,u,19.494
2.3667,57984.8952,u,21.475
2.4392,57984.9678,u,21.543
2.4461,57984.9747,u,21.55
2.4472,57984.9757,u,21.551
2.4479,57984.9764,u,21.551
2.4486,57984.9771,u,21.552
2.4492,57984.9778,u,21.553
2.4515,57984.98,u,21.555
3.3127,57985.8413,u,22.191
3.4541,57985.9826,u,22.282
3.4551,57985.9836,u,22.282
3.4556,57985.9841,u,22.283
3.4558,57985.9843,u,22.283
3.4564,57985.985,u,22.283
3.4571,57985.9856,u,22.284
4.2588,57986.7873,u,22.784
4.4449,57986.9734,u,22.893
4.4467,57986.9752,u,22.894
4.4491,57986.9777,u,22.896
4.4516,57986.9801,u,22.897
4.4552,57986.9837,u,22.899
4.4624,57986.9909,u,22.903
5.2049,57987.7334,u,23.284
5.446,57987.9745,u,23.396
5.4484,57987.977,u,23.397
5.4508,57987.9794,u,23.398
5.4545,57987.983,u,23.399
6.1509,57988.6795,u,23.689
6.4458,57988.9743,u,23.806
7.097,57989.6255,u,24.049
7.4376,57989.9661,u,24.178
7.4448,57989.9734,u,24.181
7.4509,57989.9794,u,24.183
7.4533,57989.9818,u,24.184
7.4581,57989.9866,u,24.186
8.0431,57990.5716,u,24.406
8.4446,57990.9732,u,24.559
8.4543,57990.9828,u,24.563
8.4591,57990.9877,u,24.565
8.4688,57990.9973,u,24.569
8.9891,57991.5176,u,24.772
9.4457,57991.9742,u,24.947
9.4492,57991.9777,u,24.948
9.4659,57991.9944,u,24.955
9.4712,57991.9997,u,24.957
9.7534,57992.2819,u,25.065
9.768,57992.2965,u,25.071
9.8193,57992.3478,u,25.09
9.905,57992.4335,u,25.123
9.9352,57992.4637,u,25.135
9.9695,57992.498,u,25.148
