time,mjd,band,mag
0,57982.5285,u,22.844
0.7368,57983.2654,u,23.776
1.4737,57984.0022,u,23.572
2.2105,57984.739,u,23.49
2.9474,57985.4759,u,23.478
3.6842,57986.2127,u,23.521
4.4211,57986.9496,u,23.603
5.1579,57987.6864,u,23.718
5.8947,57988.4233,u,23.863
6.6316,57989.1601,u,24.036
7.3684,57989.8969,u,24.228
8.1053,57990.6338,u,24.437
8.8421,57991.3706,u,24.66
9.5789,57992.1075,u,24.888
10.3158,57992.8443,u,25.119
11.0526,57993.5812,u,25.345
11.7895,57994.318,u,25.56
12.5263,57995.0548,u,25.763
13.2632,57995.7917,u,25.947
14,57996.5285,u,26.114
0,57982.5285,g,22.01
0.7368,57983.2654,g,22.338
1.4737,57984.0022,g,22.132
2.2105,57984.739,g,22.05
2.9474,57985.4759,g,22.039
3.6842,57986.2127,g,22.082
4.4211,57986.9496,g,22.164
5.1579,57987.6864,g,22.279
5.8947,57988.4233,g,22.424
6.6316,57989.1601,g,22.597
7.3684,57989.8969,g,22.789
8.1053,57990.6338,g,22.998
8.8421,57991.3706,g,23.22
9.5789,57992.1075,g,23.449
10.3158,57992.8443,g,23.679
11.0526,57993.5812,g,23.906
11.7895,57994.318,g,24.121
12.5263,57995.0548,g,24.323
13.2632,57995.7917,g,24.508
14,57996.5285,g,24.675
0,57982.5285,r,21.4
0.7368,57983.2654,r,21.191
1.4737,57984.0022,r,20.984
2.2105,57984.739,r,20.902
2.9474,57985.4759,r,20.89
3.6842,57986.2127,r,20.933
4.4211,57986.9496,r,21.015
5.1579,57987.6864,r,21.13
5.8947,57988.4233,r,21.275
6.6316,57989.1601,r,21.448
7.3684,57989.8969,r,21.64
8.1053,57990.6338,r,21.849
8.8421,57991.3706,r,22.072
9.5789,57992.1075,r,22.3
10.3158,57992.8443,r,22.531
11.0526,57993.5812,r,22.757
11.7895,57994.318,r,22.972
12.5263,57995.0548,r,23.175
13.2632,57995.7917,r,23.359
14,57996.5285,r,23.526
