time,mjd,band,mag
0.4745,57983.0031,u,17.846
0.4752,57983.0037,u,17.846
0.6387,57983.1672,u,17.835
0.9809,57983.5094,u,18.229
1.043,57983.5715,u,18.349
1.4206,57983.9491,u,19.354
1.4478,57983.9764,u,19.44
1.4485,57983.977,u,19.442
1.4492,57983.9777,u,19.445
1.4499,57983.9784,u,19.447
1.4506,57983.9791,u,19.449
1.4512,57983.9798,u,19.451
1.4717,57984.0002,u,19.517
2.3667,57984.8952,u,21.308
2.4392,57984.9678,u,21.379
2.4461,57984.9747,u,21.385
2.4472,57984.9757,u,21.386
2.4479,57984.9764,u,21.387
2.4486,57984.9771,u,21.388
2.4492,57984.9778,u,21.389
2.4515,57984.98,u,21.391
3.3127,57985.8413,u,22.169
3.4541,57985.9826,u,22.289
3.4551,57985.9836,u,22.289
3.4556,57985.9841,u,22.29
3.4558,57985.9843,u,22.29
3.4564,57985.985,u,22.291
3.4571,57985.9856,u,22.291
4.2588,57986.7873,u,22.935
4.4449,57986.9734,u,23.076
4.4467,57986.9752,u,23.078
4.4491,57986.9777,u,23.079
4.4516,57986.9801,u,23.081
4.4552,57986.9837,u,23.084
4.4624,57986.9909,u,23.089
5.2049,57987.7334,u,23.593
5.446,57987.9745,u,23.74
5.4484,57987.977,u,23.741
5.4508,57987.9794,u,23.742
5.4545,57987.983,u,23.744
6.1509,57988.6795,u,24.107
6.4458,57988.9743,u,24.239
7.097,57989.6255,u,24.489
7.4376,57989.9661,u,24.604
7.4448,57989.9734,u,24.606
7.4509,57989.9794,u,24.608
7.4533,57989.9818,u,24.609
7.4581,57989.9866,u,24.611
8.0431,57990.5716,u,24.787
8.4446,57990.9732,u,24.898
8.4543,57990.9828,u,24.901
8.4591,57990.9877,u,24.902
8.4688,57990.9973,u,24.905
8.9891,57991.5176,u,25.039
9.4457,57991.9742,u,25.151
9.4492,57991.9777,u,25.152
9.4659,57991.9944,u,25.156
9.4712,57991.9997,u,25.157
9.7534,57992.2819,u,25.224
9.768,57992.2965,u,25.227
9.8193,57992.3478,u,25.239
9.905,57992.4335,u,25.259
9.9352,57992.4637,u,25.266
9.9695,57992.498,u,25.273
10.0321,57992.5606,u,25.288
10.0447,57992.5732,u,25.29
10.4462,57992.9747,u,25.379
10.4494,57992.9779,u,25.38
10.4528,57992.9813,u,25.38
10.4583,57992.9868,u,25.382
10.4715,57993,u,25.385
10.8813,57993.4098,u,25.472
11.4548,57993.9833,u,25.59
11.8273,57994.3558,u,25.663
12.4469,57994.9755,u,25.781
12.7734,57995.3019,u,25.842
13.4412,57995.9697,u,25.961
13.7195,57996.248,u,26.008
14.4459,57996.9744,u,26.129
14.6655,57997.194,u,26.166
15.4471,57997.9757,u,26.289
15.6116,57998.1401,u,26.314
16.4462,57998.9747,u,26.439
16.5576,57999.0862,u,26.456
17.5037,58000.0322,u,26.591
18.4498,58000.9783,u,26.722
0.4745,57983.0031,g,17.62
0.4752,57983.0037,g,17.619
0.6387,57983.1672,g,17.491
0.9809,57983.5094,g,17.625
1.043,57983.5715,g,17.695
1.4206,57983.9491,g,18.352
1.4478,57983.9764,g,18.412
1.4485,57983.977,g,18.413
1.4492,57983.9777,g,18.415
1.4499,57983.9784,g,18.416
1.4506,57983.9791,g,18.418
1.4512,57983.9798,g,18.419
1.4717,57984.0002,g,18.465
2.3667,57984.8952,g,19.843
2.4392,57984.9678,g,19.901
