time,mjd,band,mag
0,57982.5285,u,17.905
0.7368,57983.2654,u,18.848
1.4737,57984.0022,u,21.559
2.2105,57984.739,u,22.35
2.9474,57985.4759,u,22.88
3.6842,57986.2127,u,23.278
4.4211,57986.9496,u,23.609
5.1579,57987.6864,u,23.897
5.8947,57988.4233,u,24.152
6.6316,57989.1601,u,24.382
7.3684,57989.8969,u,24.595
8.1053,57990.6338,u,24.789
8.8421,57991.3706,u,24.97
9.5789,57992.1075,u,25.139
10.3158,57992.8443,u,25.298
11.0526,57993.5812,u,25.446
11.7895,57994.318,u,25.587
12.5263,57995.0548,u,25.721
13.2632,57995.7917,u,25.848
14,57996.5285,u,25.969
0,57982.5285,g,17.697
0.7368,57983.2654,g,18.064
1.4737,57984.0022,g,20.029
2.2105,57984.739,g,20.817
2.9474,57985.4759,g,21.348
3.6842,57986.2127,g,21.746
4.4211,57986.9496,g,22.076
5.1579,57987.6864,g,22.365
5.8947,57988.4233,g,22.62
6.6316,57989.1601,g,22.849
7.3684,57989.8969,g,23.062
8.1053,57990.6338,g,23.256
8.8421,57991.3706,g,23.438
9.5789,57992.1075,g,23.606
10.3158,57992.8443,g,23.765
11.0526,57993.5812,g,23.914
11.7895,57994.318,g,24.055
12.5263,57995.0548,g,24.188
13.2632,57995.7917,g,24.315
14,57996.5285,g,24.436
0,57982.5285,r,17.689
0.7368,57983.2654,r,17.501
1.4737,57984.0022,r,18.802
2.2105,57984.739,r,19.589
2.9474,57985.4759,r,20.119
3.6842,57986.2127,r,20.517
4.4211,57986.9496,r,20.848
5.1579,57987.6864,r,21.136
5.8947,57988.4233,r,21.391
6.6316,57989.1601,r,21.621
7.3684,57989.8969,r,21.834
8.1053,57990.6338,r,22.027
8.8421,57991.3706,r,22.209
9.5789,57992.1075,r,22.377
10.3158,57992.8443,r,22.536
11.0526,57993.5812,r,22.685
11.7895,57994.318,r,22.826
12.5263,57995.0548,r,22.96
13.2632,57995.7917,r,23.087
14,57996.5285,r,23.208
