time,mjd,band,mag
0,57982.5285,u,20.905
0.7368,57983.2654,u,21.136
1.4737,57984.0022,u,21.689
2.2105,57984.739,u,22.357
2.9474,57985.4759,u,23.114
3.6842,57986.2127,u,23.976
4.4211,57986.9496,u,24.944
5.1579,57987.6864,u,26.031
5.8947,57988.4233,u,27.254
6.6316,57989.1601,u,28.634
7.3684,57989.8969,u,30.17
8.1053,57990.6338,u,31.88
8.8421,57991.3706,u,33.771
9.5789,57992.1075,u,35.834
10.3158,57992.8443,u,37.648
11.0526,57993.5812,u,38.142
11.7895,57994.318,u,38.35
12.5263,57995.0548,u,38.55
13.2632,57995.7917,u,38.737
14,57996.5285,u,38.909
0,57982.5285,g,20.44
0.7368,57983.2654,g,20.216
1.4737,57984.0022,g,20.436
2.2105,57984.739,g,20.809
2.9474,57985.4759,g,21.284
3.6842,57986.2127,g,21.858
4.4211,57986.9496,g,22.525
5.1579,57987.6864,g,23.291
5.8947,57988.4233,g,24.165
6.6316,57989.1601,g,25.161
7.3684,57989.8969,g,26.277
8.1053,57990.6338,g,27.523
8.8421,57991.3706,g,28.905
9.5789,57992.1075,g,30.413
10.3158,57992.8443,g,31.752
11.0526,57993.5812,g,32.162
11.7895,57994.318,g,32.37
12.5263,57995.0548,g,32.57
13.2632,57995.7917,g,32.757
14,57996.5285,g,32.929
0,57982.5285,r,20.18
0.7368,57983.2654,r,19.528
1.4737,57984.0022,r,19.449
2.2105,57984.739,r,19.568
2.9474,57985.4759,r,19.806
3.6842,57986.2127,r,20.146
4.4211,57986.9496,r,20.575
5.1579,57987.6864,r,21.094
5.8947,57988.4233,r,21.706
6.6316,57989.1601,r,22.421
7.3684,57989.8969,r,23.235
8.1053,57990.6338,r,24.156
8.8421,57991.3706,r,25.188
9.5789,57992.1075,r,26.321
10.3158,57992.8443,r,27.342
11.0526,57993.5812,r,27.698
11.7895,57994.318,r,27.906
12.5263,57995.0548,r,28.105
13.2632,57995.7917,r,28.292
14,57996.5285,r,28.465
